,poster_path,title,id,isThriller
0,lPsD10PP4rgUGiGR4CCXA6iY0QQ,Raya and the Last Dragon,527774,False
1,6KErczPBROQty7QoIsaa6wJYXZi,Tom & Jerry,587807,False
2,dWSnsAGTfc8U27bWsy2RfwZs0Bs,Below Zero,587996,False
3,fFRq98cW9lTo6di2o4lK1qUAWaN,Sentinelle,793723,False
4,8UlWHLMpgZm9bx6QYh0NFoq67TZ,Wonder Woman 1984,464052,False
5,1UCOF11QCw8kcqvce8LKOO6pimh,Monster Hunter,458576,False
6,nWBPLkqNApY5pgrJFMiI9joSI30,Coming 2 America,484718,False
7,lykPQ7lgrLJPwLlSyetVXsl2wDf,Space Sweepers,581389,False
8,c7VlGCCgM9GZivKSzBgzuOVxQn7,The Little Things,602269,False
9,6XYLiMxHAaCsoyrVo38LBWMw2p8,Outside the Wire,775996,False
10,xZ2KER2gOHbuHP2GJoODuXDSZCb,Red Dot,649087,False
11,13B6onhL6FzSN2KaNeQeMML05pS,Breach,651571,False
12,kiX7UYfOpYrMFSAGbI6j1pFkLzQ,After We Collided,613504,False
13,95S6PinQIvVe4uJAd82a2iGZ0rA,Black Water: Abyss,522444,True
14,eLT8Cu357VOwBVTitkmlDEg32Fs,Jiu Jitsu,590706,False
15,vYvppZMvXYheYTWVd8Rnn9nsmNp,Vanguard,604822,False
16,2W4ZvACURDyhiNnSIaFPHfNbny3,Skylines,560144,False
17,tnAuB8q5vv7Ax9UAEje5Xi4BXik,Zack Snyder's Justice League,791373,False
18,4U1SBHmwHkNA0eHZ2n1CuiC1K1g,Wrong Turn,630586,True
19,kIHgjAkuzvKBnmdstpBOo4AfZah,"Miraculous World: New York, United HeroeZ",755812,False
20,h4VB6m0RwcicVEZvzftYZyKXs6K,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764,False
21,zoeKREZ2IdAUnXISYCS0E6H5BVh,Ashfall,581387,False
22,hm58Jw4Lw8OIeECIq5qyPYhAeRJ,Soul,508442,False
23,4VlXER3FImHeFuUjBShFamhIp9M,Mortal Kombat Legends: Scorpion's Revenge,664767,False
24,tbVZ3Sq88dZaCANlUcewQuHQOaE,The Croods: A New Age,529203,False
25,pgqgaUx1cJb5oZQQ5v0tNARCeBp,Godzilla vs. Kong,399566,False
26,qzA87Wf4jo1h8JMk9GilyIYvwsA,Ava,539885,False
27,zeD4PabP6099gpE0STWJrJrCBCs,Honest Thief,553604,False
28,sCoG0ibohbPrnyomtzegSuBL40L,Scooby-Doo! The Sword and the Scoob,682254,False
29,k68nPLbIST6NP96JmTxmZijEvCA,Tenet,577922,False
30,wB8qqLIaYDkYEnjbS5hAJiTuYU6,Aquaslash,607383,True
