,poster_path,title,id,isThriller
0,lPsD10PP4rgUGiGR4CCXA6iY0QQ,Raya and the Last Dragon,527774,2
1,6KErczPBROQty7QoIsaa6wJYXZi,Tom & Jerry,587807,2
2,dWSnsAGTfc8U27bWsy2RfwZs0Bs,Below Zero,587996,2
3,fFRq98cW9lTo6di2o4lK1qUAWaN,Sentinelle,793723,2
4,8UlWHLMpgZm9bx6QYh0NFoq67TZ,Wonder Woman 1984,464052,2
5,1UCOF11QCw8kcqvce8LKOO6pimh,Monster Hunter,458576,2
6,nWBPLkqNApY5pgrJFMiI9joSI30,Coming 2 America,484718,2
7,lykPQ7lgrLJPwLlSyetVXsl2wDf,Space Sweepers,581389,2
8,c7VlGCCgM9GZivKSzBgzuOVxQn7,The Little Things,602269,2
9,6XYLiMxHAaCsoyrVo38LBWMw2p8,Outside the Wire,775996,2
10,xZ2KER2gOHbuHP2GJoODuXDSZCb,Red Dot,649087,2
11,13B6onhL6FzSN2KaNeQeMML05pS,Breach,651571,2
12,kiX7UYfOpYrMFSAGbI6j1pFkLzQ,After We Collided,613504,2
13,95S6PinQIvVe4uJAd82a2iGZ0rA,Black Water: Abyss,522444,0
14,eLT8Cu357VOwBVTitkmlDEg32Fs,Jiu Jitsu,590706,2
15,vYvppZMvXYheYTWVd8Rnn9nsmNp,Vanguard,604822,2
16,2W4ZvACURDyhiNnSIaFPHfNbny3,Skylines,560144,2
17,tnAuB8q5vv7Ax9UAEje5Xi4BXik,Zack Snyder's Justice League,791373,2
18,4U1SBHmwHkNA0eHZ2n1CuiC1K1g,Wrong Turn,630586,0
19,kIHgjAkuzvKBnmdstpBOo4AfZah,"Miraculous World: New York, United HeroeZ",755812,2
20,h4VB6m0RwcicVEZvzftYZyKXs6K,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764,2
21,zoeKREZ2IdAUnXISYCS0E6H5BVh,Ashfall,581387,2
22,hm58Jw4Lw8OIeECIq5qyPYhAeRJ,Soul,508442,2
23,4VlXER3FImHeFuUjBShFamhIp9M,Mortal Kombat Legends: Scorpion's Revenge,664767,2
24,tbVZ3Sq88dZaCANlUcewQuHQOaE,The Croods: A New Age,529203,2
